algorithm,interval_start,interval_end,interval_center,mean_score,std_error,ci_lower,ci_upper,n_points,min_score,max_score
MinibatchwithValidation,1700,1800,1750.0,0.45774898785425105,0.010251012145748991,0.41364244246319587,0.5018555332453063,3,0.43724696356275305,0.468
MinibatchwithValidation,1800,1900,1850.0,0.4604156545209177,0.01181229840090692,0.40959143656227015,0.5112398724795653,3,0.43724696356275305,0.476
MinibatchwithValidation,2000,2100,2050.0,0.46726104417670683,0.010800856702501686,0.42078870860263107,0.5137333797507826,3,0.4457831325301205,0.48
llm-search-no-regressor,0,100,50.0,0.37600000000000006,0.0023094010767585054,0.3660634491531219,0.3859365508468782,3,0.372,0.38
llm-search-no-regressor,400,500,450.0,0.3786666666666667,0.0035276684147527906,0.36348833453246776,0.39384499880086565,3,0.372,0.384
llm-search-no-regressor,800,900,850.0,0.4053333333333333,0.020954978194002286,0.31517133920618623,0.4954953274604804,3,0.372,0.444
llm-search-no-regressor,1200,1300,1250.0,0.42442211858185436,0.033205908932139934,0.281548623872941,0.5672956132907677,3,0.372,0.4859437751004016
llm-search-no-regressor,1700,1800,1750.0,0.42975545191518766,0.029180339271801803,0.3042025854939101,0.5553083183364652,3,0.388,0.4859437751004016
llm-search-no-regressor,2100,2200,2150.0,0.44731459170013393,0.030106258251005113,0.3177778174555098,0.576851365944758,3,0.388,0.4859437751004016
llm-search-xml,0,100,50.0,0.3866666666666667,0.013333333333333346,0.32929796360405145,0.444035369729282,3,0.36,0.4
llm-search-xml,400,500,450.0,0.4386666666666667,0.011623730516108472,0.38865379083228024,0.48867954250105317,3,0.42,0.46
llm-search-xml,800,900,850.0,0.45999999999999996,0.020132891827388668,0.373375158022209,0.5466248419777909,3,0.436,0.5
llm-search-xml,1200,1300,1250.0,0.4840215053763441,0.016668830938215282,0.4123013144391886,0.5557416963134996,3,0.452,0.5080645161290323
llm-search-xml,1700,1800,1750.0,0.4960215053763441,0.006131220133927184,0.46964099433073436,0.5224020164219538,3,0.488,0.5080645161290323
llm-search-xml,2100,2200,2150.0,0.4960215053763441,0.006131220133927184,0.46964099433073436,0.5224020164219538,3,0.488,0.5080645161290323
llm-search-more-generation-xml,0,100,50.0,0.4104203480589023,0.006433097039696708,0.3827409655206511,0.4380997305971535,3,0.39759036144578314,0.41767068273092367
llm-search-more-generation-xml,400,500,450.0,0.4117536813922356,0.007113511876801498,0.3811467100977897,0.4423606526866815,3,0.39759036144578314,0.42
llm-search-more-generation-xml,800,900,850.0,0.44589022757697455,0.01410977242302545,0.38518077674565276,0.5065996784082963,3,0.41767068273092367,0.46
llm-search-more-generation-xml,1200,1300,1250.0,0.44589022757697455,0.01410977242302545,0.38518077674565276,0.5065996784082963,3,0.41767068273092367,0.46
llm-search-more-generation-xml,1700,1800,1750.0,0.44589022757697455,0.01410977242302545,0.38518077674565276,0.5065996784082963,3,0.41767068273092367,0.46
llm-search-more-generation-xml,2100,2200,2150.0,0.4573333333333333,0.009333333333333327,0.41717524118950267,0.49749142547716396,3,0.44,0.472
