run_id,run_name,algorithm,step,total_samples,test_score,highest_score_so_far
66968mbo,BasicSearchAlgorithm,BasicSearchAlgorithm,24.0,2498.0,0.4672131147540984,0.4779116465863454
66968mbo,BasicSearchAlgorithm,BasicSearchAlgorithm,27.0,2804.0,0.4435483870967742,0.4779116465863454
2o4ktc6z,llm-search-new-version,llm-search-new-version,0.0,0.0,0.41767068273092367,0.41767068273092367
2o4ktc6z,llm-search-new-version,llm-search-new-version,5.0,540.0,0.434,0.434
2o4ktc6z,llm-search-new-version,llm-search-new-version,10.0,1080.0,0.448,0.448
2o4ktc6z,llm-search-new-version,llm-search-new-version,15.0,1620.0,0.516,0.516
2o4ktc6z,llm-search-new-version,llm-search-new-version,20.0,2160.0,0.502,0.516
cyg0z1eh,llm-search-new-version,llm-search-new-version,0.0,0.0,0.37,0.37
cyg0z1eh,llm-search-new-version,llm-search-new-version,5.0,540.0,0.492,0.492
cyg0z1eh,llm-search-new-version,llm-search-new-version,10.0,1080.0,0.498,0.498
cyg0z1eh,llm-search-new-version,llm-search-new-version,15.0,1620.0,0.528,0.528
cyg0z1eh,llm-search-new-version,llm-search-new-version,20.0,2160.0,0.452,0.528
q1wnlf05,llm-search-multigen,llm-search-multigen,0.0,0.0,0.384,0.384
q1wnlf05,llm-search-multigen,llm-search-multigen,5.0,540.0,0.456,0.456
q1wnlf05,llm-search-multigen,llm-search-multigen,10.0,1080.0,0.452,0.456
q1wnlf05,llm-search-multigen,llm-search-multigen,15.0,1620.0,0.424,0.456
q1wnlf05,llm-search-multigen,llm-search-multigen,20.0,2160.0,0.478,0.478
3gxijep7,llm-search-multigen,llm-search-multigen,0.0,0.0,0.398,0.398
3gxijep7,llm-search-multigen,llm-search-multigen,5.0,540.0,0.366,0.398
3gxijep7,llm-search-multigen,llm-search-multigen,10.0,1080.0,0.402,0.402
3gxijep7,llm-search-multigen,llm-search-multigen,15.0,1620.0,0.414,0.414
3gxijep7,llm-search-multigen,llm-search-multigen,20.0,2160.0,0.4028056112224449,0.414
