"Total samples","Name: BasicSearchAlgorithm - _step","Name: BasicSearchAlgorithm - _step__MIN","Name: BasicSearchAlgorithm - _step__MAX","Name: BasicSearchAlgorithm - Test score","Name: BasicSearchAlgorithm - Test score__MIN","Name: BasicSearchAlgorithm - Test score__MAX","Name: IslandSearchAlgorithm - _step","Name: IslandSearchAlgorithm - _step__MIN","Name: IslandSearchAlgorithm - _step__MAX","Name: IslandSearchAlgorithm - Test score","Name: IslandSearchAlgorithm - Test score__MIN","Name: IslandSearchAlgorithm - Test score__MAX","Name: MinibatchwithValidation - _step","Name: MinibatchwithValidation - _step__MIN","Name: MinibatchwithValidation - _step__MAX","Name: MinibatchwithValidation - Test score","Name: MinibatchwithValidation - Test score__MIN","Name: MinibatchwithValidation - Test score__MAX","Name: ExploreOnlyLLM_v1.0 - _step","Name: ExploreOnlyLLM_v1.0 - _step__MIN","Name: ExploreOnlyLLM_v1.0 - _step__MAX","Name: ExploreOnlyLLM_v1.0 - Test score","Name: ExploreOnlyLLM_v1.0 - Test score__MIN","Name: ExploreOnlyLLM_v1.0 - Test score__MAX","Name: ExplorewithLLM_v1.0 - _step","Name: ExplorewithLLM_v1.0 - _step__MIN","Name: ExplorewithLLM_v1.0 - _step__MAX","Name: ExplorewithLLM_v1.0 - Test score","Name: ExplorewithLLM_v1.0 - Test score__MIN","Name: ExplorewithLLM_v1.0 - Test score__MAX","Name: ExploreAlgorithm_v1.0 - _step","Name: ExploreAlgorithm_v1.0 - _step__MIN","Name: ExploreAlgorithm_v1.0 - _step__MAX","Name: ExploreAlgorithm_v1.0 - Test score","Name: ExploreAlgorithm_v1.0 - Test score__MIN","Name: ExploreAlgorithm_v1.0 - Test score__MAX"
"611","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","0.46122448979591835","0.46122448979591835","0.46122448979591835"
"612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","0.42277911646586347","0.3895582329317269","0.456"
"666","8","8","8","0.448","0.448","0.448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"720","10","10","10","0.444","0.444","0.444","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"774","12","12","12","0.436","0.436","0.436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"793","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","0.45188284518828453","0.45188284518828453","0.45188284518828453","","","","","",""
"799","","","","","","","","","","","","","","","","","","","4","4","4","0.38","0.38","0.38","","","","","","","","","","","",""
"800","","","","","","","","","","","","","","","","","","","4","4","4","0.34199999999999997","0.332","0.352","","","","","","","","","","","",""
"804","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","0.436","0.436","0.436","","","","","",""
"808","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","0.368","0.368","0.368","","","","","",""
"810","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","0.404","0.404","0.404","","","","","",""
"814","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","0.40160642570281124","0.40160642570281124","0.40160642570281124"
"815","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","0.396","0.396","0.396"
"816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","0.456","0.456","0.456"
"850","","","","","","","2","2","2","0.38400000000000006","0.344","0.432","","","","","","","","","","","","","","","","","","","","","","","",""
"878","14","14","14","0.452","0.452","0.452","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"991","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","0.3891213389121339","0.3891213389121339","0.3891213389121339","","","","","",""
"999","","","","","","","","","","","","","","","","","","","5","5","5","0.344","0.344","0.344","","","","","","","","","","","",""
"1000","","","","","","","","","","","","","","","","","","","5","5","5","0.392","0.368","0.416","","","","","","","","","","","",""
"1006","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","0.428","0.428","0.428","","","","","",""
"1012","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","0.436","0.436","0.436","","","","","",""
"1017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","0.41700404858299595","0.41700404858299595","0.41700404858299595"
"1019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","0.364","0.364","0.364"
"1020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","0.472","0.472","0.472"
"1082","16","16","16","0.448","0.448","0.448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1191","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","0.42738589211618255","0.42738589211618255","0.42738589211618255","","","","","",""
"1199","","","","","","","","","","","","","","","","","","","6","6","6","0.38","0.38","0.38","","","","","","","","","","","",""
"1200","","","","","","","","","","","","","","","","","","","6","6","6","0.368","0.328","0.408","","","","","","","","","","","",""
"1208","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","0.392","0.392","0.392","","","","","",""
"1214","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","0.38","0.38","0.38","","","","","",""
"1221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","0.44176706827309237","0.44176706827309237","0.44176706827309237"
"1223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","0.388","0.388","0.388"
"1224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","0.448","0.448","0.448"
"1236","18","18","18","0.46","0.46","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1250","","","","","","","3","3","3","0.3786666666666667","0.372","0.384","","","","","","","","","","","","","","","","","","","","","","","",""
"1340","20","20","20","0.392","0.392","0.392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1388","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","0.4089068825910931","0.4089068825910931","0.4089068825910931","","","","","",""
"1394","22","22","22","0.43724696356275305","0.43724696356275305","0.43724696356275305","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1399","","","","","","","","","","","","","","","","","","","7","7","7","0.416","0.416","0.416","","","","","","","","","","","",""
"1400","","","","","","","","","","","","","","","","","","","7","7","7","0.364706827309237","0.3534136546184739","0.376","","","","","","","","","","","",""
"1410","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","0.444","0.444","0.444","","","","","",""
"1415","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","0.396","0.396","0.396","","","","","",""
"1424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","0.4","0.4","0.4"
"1426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","0.416","0.416","0.416"
"1428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","0.46","0.46","0.46"
"1548","24","24","24","0.404","0.404","0.404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1580","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","0.3991769547325103","0.3991769547325103","0.3991769547325103","","","","","",""
"1599","","","","","","","","","","","","","","","","","","","8","8","8","0.34","0.34","0.34","","","","","","","","","","","",""
"1600","","","","","","","","","","","","","","","","","","","8","8","8","0.378","0.34","0.416","","","","","","","","","","","",""
"1612","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","0.424","0.424","0.424","","","","","",""
"1617","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","0.392","0.392","0.392","","","","","",""
"1626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","0.42105263157894735","0.42105263157894735","0.42105263157894735"
"1630","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","0.416","0.416","0.416"
"1632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","0.476","0.476","0.476"
"1650","","","","","","","4","4","4","0.3786666666666667","0.372","0.388","","","","","","","","","","","","","","","","","","","","","","","",""
"1752","26","26","26","0.432","0.432","0.432","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1779","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","0.47560975609756095","0.47560975609756095","0.47560975609756095","","","","","",""
"1799","","","","","","","","","","","","","","","","","","","9","9","9","0.372","0.372","0.372","","","","","","","","","","","",""
"1800","","","","","","","","","","","","","","","","","","","9","9","9","0.374","0.372","0.376","","","","","","","","","","","",""
"1814","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","0.476","0.476","0.476","","","","","",""
"1819","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","0.336","0.336","0.336","","","","","",""
"1826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","0.3967611336032389","0.3967611336032389","0.3967611336032389"
"1834","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","0.408","0.408","0.408"
"1835","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","0.44","0.44","0.44"
"1956","28","28","28","0.468","0.468","0.468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1975","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","0.43724696356275305","0.43724696356275305","0.43724696356275305","","","","","",""
"1999","","","","","","","","","","","","","","","","","","","10","10","10","0.36","0.36","0.36","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","","","","","","","10","10","10","0.376","0.372","0.38","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","0.424","0.424","0.424","","","","","",""
"2028","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","0.46987951807228917","0.46987951807228917","0.46987951807228917"
"2038","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","0.42","0.42","0.42"
"2039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","0.472","0.472","0.472"
"2050","","","","","","","5","5","5","0.4093333333333333","0.392","0.424","","","","","","","","","","","","","","","","","","","","","","","",""
"2140","","","","","","","","","","","","","21","21","21","0.4713770491803279","0.42213114754098363","0.516","","","","","","","","","","","","","","","","","",""
